%% logfile from robot Tania (57)
% Tania (57)
%  1    time 0.211 sec
%  2  3 Motor voltage [V] left, right: 6.06 6.00
%  4  5 Wheel velocity [m/s] left, right: 0.7436 0.8232
%  6    Battery voltage [V]: 11.87
%  7  9 Chirp frequency =785.062 rad/s, phase=0.785062 rad, value=0.706869
0.504 -1.25 -1.25 0.8728 0.7491 11.86 692.25 3.98915 -0.749668 
0.506 -1.44 -1.46 0.8488 0.8789 11.86 691.657 5.37276 -0.789762 
0.507 1.42 1.40 0.7064 0.8482 11.86 691.361 6.06413 -0.217312 
0.508 4.77 4.78 0.8412 0.6774 11.87 691.066 0.472006 0.454673 
0.509 7.11 7.07 0.7062 0.7928 11.87 690.77 1.16278 0.917908 
0.510 7.31 7.29 0.7651 0.6626 11.86 690.474 1.85325 0.960375 
0.511 5.33 5.30 0.7572 0.8277 11.83 690.179 2.54343 0.563126 
0.512 2.05 2.03 0.7316 0.7010 11.83 689.884 3.23331 -0.0915909 
0.514 -2.46 -2.48 0.8488 0.8196 11.86 689.293 4.61219 -0.994985 
0.515 -1.65 -1.67 0.8026 0.8627 11.86 688.998 5.30119 -0.831606 
0.516 1.06 1.04 0.8197 0.7972 11.86 688.704 5.9899 -0.289103 
0.517 4.43 4.41 0.7566 0.8019 11.87 688.409 0.395119 0.384918 
0.518 6.94 6.89 0.7706 0.7336 11.88 688.115 1.08323 0.883477 
0.519 7.41 7.39 0.7392 0.7268 11.86 687.82 1.77105 0.980015 
0.520 5.67 5.64 0.7792 0.8016 11.83 687.526 2.45858 0.631133 
0.521 2.49 2.47 0.7890 0.7890 11.82 687.232 3.14581 -0.00421865 
0.523 -2.38 -2.43 0.8585 0.8783 11.86 686.644 4.51939 -0.981434 
0.524 -1.89 -1.91 0.9012 0.7804 11.86 686.35 5.20574 -0.88075 
0.525 0.62 0.57 0.7063 0.8653 11.86 686.056 5.8918 -0.381471 
0.526 3.97 3.93 0.7935 0.7852 11.87 685.763 0.294376 0.290143 
0.527 6.67 6.63 0.7572 0.7969 11.88 685.469 0.979845 0.830411 
