%% logfile from robot Tania (57)
% Tania (57)
%  1    time 0.010 sec
%  2  3 Motor voltage [V] left, right: 4.75 4.75
%  4  5 Wheel velocity [m/s] left, right: 0.0000 -0.0000
%  6    Battery voltage [V]: 11.90
%  7  9 Chirp frequency =1256.1 rad/s, phase=1.2561 rad, value=0.95089
0.242 -0.76 -0.63 0.0047 -0.0000 11.88 1136.83 3.28096 -0.138917 
0.243 -4.84 -4.72 0.0047 -0.0000 11.92 1136.34 4.4173 -0.956776 
0.244 -3.40 -3.27 0.0046 -0.0000 11.90 1135.85 5.55315 -0.666895 
0.245 1.91 2.03 0.0045 -0.0000 11.89 1135.37 0.405331 0.394323 
0.246 4.93 5.06 0.0045 -0.0000 11.91 1134.88 1.54021 0.999532 
0.247 2.19 2.31 0.0044 -0.0000 11.90 1134.39 2.6746 0.450199 
0.248 -3.15 -3.03 0.0044 -0.0000 11.89 1133.91 3.80851 -0.618569 
0.250 -1.10 -0.97 0.0043 -0.0000 11.89 1132.94 6.07487 -0.206809 
0.251 3.93 4.05 0.0043 -0.0000 11.89 1132.45 0.924141 0.798103 
0.252 4.36 4.49 0.0042 -0.0000 11.90 1131.97 2.05611 0.884529 
0.253 -0.29 -0.17 0.0042 -0.0000 11.89 1131.48 3.18759 -0.0459822 
0.254 -4.68 -4.55 0.0041 -0.0000 11.89 1131 4.31859 -0.923458 
0.255 -3.77 -3.64 0.0041 -0.0000 11.90 1130.51 5.4491 -0.740679 
0.256 1.39 1.52 0.0040 -0.0000 11.89 1130.03 0.29595 0.291648 
0.257 4.88 5.01 0.0040 -0.0000 11.90 1129.55 1.4255 0.989462 
0.258 2.70 2.83 0.0040 -0.0000 11.90 1129.06 2.55456 0.553894 
0.260 -5.04 -4.91 0.0039 -0.0000 11.91 1128.1 4.81124 -0.995119 
0.261 -1.75 -1.62 0.0038 -0.0000 11.89 1127.61 5.93885 -0.337572 
0.262 3.46 3.59 0.0038 -0.0000 11.91 1127.13 0.782795 0.705263 
0.263 4.65 4.78 0.0038 -0.0000 11.92 1126.65 1.90944 0.943205 
0.264 0.46 0.59 0.0037 -0.0000 11.90 1126.17 3.03561 0.105786 
0.265 -4.33 -4.19 0.0037 -0.0000 11.90 1125.68 4.16129 -0.851951 
0.266 -4.26 -4.13 0.0037 -0.0000 11.91 1125.2 5.28649 -0.839679 
0.267 0.57 0.70 0.0036 -0.0000 11.89 1124.72 0.128029 0.12768 
0.269 3.40 3.53 0.0036 -0.0000 11.91 1123.76 2.37603 0.692946 
0.270 -1.82 -1.68 0.0035 -0.0000 11.90 1123.28 3.4993 -0.350129 
0.271 -5.05 -4.91 0.0035 -0.0000 11.90 1122.8 4.6221 -0.995926 
0.272 -2.63 -2.50 0.0035 -0.0000 11.90 1122.31 5.74441 -0.513084 
0.273 2.69 2.82 0.0035 -0.0000 11.89 1121.83 0.58306 0.550581 
0.274 4.89 5.02 0.0034 -0.0000 11.90 1121.35 1.70441 0.991086 
0.275 1.49 1.62 0.0034 -0.0000 11.89 1120.87 2.82529 0.311056 
0.276 -3.67 -3.53 0.0034 -0.0000 11.89 1120.39 3.94568 -0.7202 
0.277 -4.76 -4.62 0.0033 -0.0000 11.90 1119.91 5.0656 -0.938268 
0.279 4.21 4.32 0.0033 0.0000 11.89 1118.96 1.0208 0.852528 
0.280 4.16 4.27 0.0033 0.0000 11.90 1118.48 2.13928 0.842719 
0.281 -0.63 -0.52 0.0032 0.0000 11.89 1118 3.25728 -0.115426 
0.282 -4.77 -4.66 0.0032 0.0000 11.90 1117.52 4.3748 -0.943555 
